nom,vi
群𡗉結𦹵唅鋉󰡲𨍦,còn nhiều kết cỏ ngậm vành về sau
甲寅,giáp dần
觀其帝之神武不殺即天地之心也秋豪無犯即天地之量也秋養諸路流民即天地之仁也,quan kì đế chi thần vũ bất sát tức thiên địa chi tâm dã thu hào vô phạm tức thiên địa chi lượng dã thu dưỡng chư lộ lưu dân tức thiên địa chi nhân dã
菓 荼 𤝞 𤝞 𣦎 𡬼 鼠 制 辰 鼠,quả dưa chuột tuột thẳng gang thử chơi thì thử
茶撑,trà xanh
上尊號曰繼天體道顯德聖功欽明文思英睿仁哲昭顯建中文皇帝廟號,thượng tôn hiệu viết kế thiên thể đạo hiển đức thánh công khâm minh văn tư anh duệ nhân triết chiêu hiển kiến trung văn hoàng đế miếu hiệu
固 𣘃 丹 桂 𧘇 𪜀 姉 㛪,có cây đan quế ấy là chị em
上皇不許因求解兵柄不復出師,thượng hoàng bất hứa nhân cầu giải binh bính bất phục xuất sư
是月守太堂人献白鹿,thị nguyệt thú thái đường nhân hiến bạch lộc
禾極目,hoà cực mục
音音押調𠬠唏吏茹,hăm hăm áp điệu một hơi lại nhà
𡦂 㤙 強 𡦂 情 強 針,chữ ân càng chữ tình càng chăm
特𠳒如𨷑𡬷𣘈,được lời như mở tấc son
聞砲號三聲伏兵齊起,văn pháo hiệu tam thanh phục binh tề khởi
埃朱挸𪮙鐄鍮在𠇮,ai cho kén chọn vàng thau tại mình
後堂,hậu đường
漢蒼令諸路編無田者為窮隊〇,hán thương lệnh chư lộ biên vô điền giả vi cùng đội 
秋七月二郡兵反攻府治其󰟨轉盛,thu thất nguyệt nhị quận binh phản công phủ trị kì thế chuyển thịnh
夏五月内人火頭許炎献生金一塊重六十六兩,hạ ngũ nguyệt nội nhân hoả đầu hứa viêm hiến sinh kim nhất khối trọng lục thập lục lượng
舉,cử
隻釵底貝詞培於底,chiếc thoa đây với tờ bồi ở đây
以故庯舍市肆奉先師者皆臧,dĩ cố phố xá thị tứ phụng tiên sư giả giai tàng
甲子齊武帝頤永明二年,giáp tíl tề vũ đế di vĩnh minh nhị niên
枝𩄲𬖉𤑟𡓃𠓨天台,rẽ mây trông tỏ lối vào thiên thai
萍生檄檄娶本社鄧春長女生三男長曰登庸次曰篤信季曰橛,bình sinh hịch hịch thú bản xã đặng xuân trưởng nữ sinh tam nam trưởng viết đăng dung thứ viết đốc tín quý viết quyết
碎隊尋覩娘芇体󰠳,tôi đòi tìm đủ nàng nào thấy đâu
廟號諱五顯祖昭德皇帝諱汀顯祖妣嘉淑皇太后諱廓宣祖憲文皇帝諱曠貞慈懿文皇太后諱蒼御名諱利后諱陳皇兄諱學,miếu hiệu huý ngũ hiển tổ chiêu đức hoàng đế huý đinh hiển tổ tỉ gia thục hoàng thái hậu huý quách tuyên tổ hiến văn hoàng đế huý khoáng trinh từ ý văn hoàng thái hậu huý thương ngự danh huý lợi hậu huý trần hoàng huynh huý học
十二月帝還京師,thập nhị nguyệt đế hoàn kinh sư
及其賊虐諭甚民命弗堪凣有智識者皆被其害朕雖罄家所有以奉事之冀其免禍而彼害朕之心曾不少,cập kì tặc ngược dụ thậm dân mệnh phất kham phàm hữu trí thức giả giai bị kì hại trẫm tuy khánh gia sở hữu dĩ phụng sự chi ký kì miễn hoạ nhi bỉ hại trẫm chi tâm tăng bất thiểu
公鄭模領兵救乂安𭁈莫阮倦相拒數月,công trịnh mô lĩnh binh cứu nghệ an dữ mạc nguyễn quyện tướng cự sổ nguyệt
如 禮 生 𠅎 𥄭 部 𢞂 唭,như lễ sinh mất ngó bộ buồn cười
以同乳阮八索𬋩鉄鎗軍阮雲兒管鉄甲軍阮罅黎勤𬋩鉄鐮軍阮聖俞管鉄虎軍陳國興管於󰲢軍〇,dĩ đồng nhũ nguyễn bát sách quản thiết sang quân nguyễn vân nhi quản thiết giáp quân nguyễn hách lê cần quản thiết liêm quân nguyễn thánh du quản thiết hổ quân trần quốc hưng quản ư đồ quân 
若其不爾則以順攻逆朝廷用兵有各矣舅之各節當如何耶舅在兵務常以經史留心其審思之毋貽後悔,nhược kì bất nhĩ tắc dĩ thuận công nghịch triều đình dụng binh hữu các hĩ cữu chi các tiết đương như hà da cữu tại binh vụ thường dĩ kinh sử lưu tâm kì thẩm tư chi vô di hậu hối
十四曰謹法度以開太平之治,thập tứ viết cẩn pháp độ dĩ khai thái bình chi trị
帝使丁蝮退還其奏不納,đế sử đinh phúc thoái hoàn kì tấu bất nạp
五月朔雨,ngũ nguyệt sóc vũ
上諭天下各處承憲府縣州官等禮󰒂所以淑民心農桑所以足衣食二者政之急務牧守枝攸司也,thượng dụ thiên hạ các xứ thừa hiến phủ huyện châu quan đẳng lễ nghĩa sở dĩ thục dân tâm nông tang sở dĩ túc y thực nhị giả chính chi cấp vụ mục thủ chi du tư dã
曼昆㛪奴翠雲台𠳒,mượn con em nó thuý vân thay lời
遂幸應豊行宮,toại hạnh ứng phong hành cung
桧源拱扵𢚸㝵麻𦋦,cỗi nguồn cũng ở lòng người mà ra
以馮士周為行,dĩ phùng sĩ chu vi hành
󰜋𠊛易固󰋇身,một người dễ có mấy thân
特攷祭賻之儀以昭軫悼之意,đặc khảo tế phụ chi nghi dĩ chiêu chẩn điệu chi ý
其功復召川之,kì công phục triệu xuyên chi
以細江縣轉運副使刘叔謙為侍御史御前學生阮居道為監察御史,dĩ tế giang huyện chuyển vận phó sứ lưu thúc khiêm vi thị ngự sử ngự tiền học sinh nguyễn cư đạo vi giám sát ngự sử
限些時待𠁑尼逴些,hẹn ta thì đợi dưới này rước ta
差正使阮仁政副使范永綿陳槩阮滚等同天朝使都督林參駕海往福建求封于明,sai chánh sứ nguyễn nhân chính phó sứ phạm vĩnh miên trần khái nguyễn cổn đẳng đồng thiên triều sứ đô đốc lâm sâm giá hải vãng phúc kiến cầu phong vu minh
狄青帥三將兵至邕州㱕人鋪,địch thanh soái tam tướng binh chí ung châu quy nhân phố
󰀩身麻吏唅𠿯朱身,nghĩ thân mà lại ngậm ngùi cho thân
和遣士廉奉表請入朝,hoà khiển sĩ liêm phụng biểu thỉnh nhập triều
儷天皇后明寶夫人㱕寕,lệ thiên hoàng hậu minh bảo phu nhân quy ninh
平調陳沂爲山西處參政出范福慶爲諒山處憲察使鄧丕顯爲宣光處憲察使黎攀鱗爲安廣處憲察使以沂等居官不䏻慎守故也,bình điều trần nghi vi sơn tây xứ tham chính xuất phạm phúc khánh vi lạng sơn xứ hiến sát sứ đặng phi hiển vi tuyên quang xứ hiến sát sứ lê phan lân vi yên quảng xứ hiến sát sứ dĩ nghi đẳng cư quan bất năng thận thủ cố dã
𧡊𠳒端正易𦖑,thấy lời đoan chính dễ nghe
統率鄭棟使黄義膠等接戦破之,thống suất trịnh đống sử hoàng nghĩa giao đẳng tiếp chiến phá chi
󰠱𢚸𠲖邑併排分𢺺,nặng lòng e ấp tính bài phân chia
諸軍被嵐瘴而回士馬多損,chư quân bị lam chướng nhi hồi sĩ mã đa tổn
及𢌃卒徽大,cập ngẩm tốt huy đại
冬十一月遣員外郎阮伯度李寳臣遺白黒犀二及馴象三于宋,đông thập nhất nguyệt khiển viên ngoại lang nguyễn bá độ lí bảo thần di bạch hắc tê nhị cập thuần tượng tam vu tống
於戲一戎大定迄成無覺之功四海永清誕布維新之誥布吿遐邇咸使聞知大誥乃文阮廌撰,ô hô nhất nhung đại định ngật thành vô giác chi công tứ hải vĩnh thanh đản bố duy tân chi cáo bố cáo hà nhĩ hàm sử văn tri đại cáo nãi văn nguyễn trãi soạn 
帝因省覽山川方至古所步頭望江山秀氣心動神感作酒嚴之曰朕觀此方山奇水秀苟有人傑地灵受吾明享,đế nhân tỉnh lãm sơn xuyên phương chí cổ sở bộ đầu vọng giang sơn tú khí tâm động thần cảm tác tửu nghiêm chi viết trẫm quan thử phương sơn kì thuỷ tú câu hữu nhân kiệt địa linh thụ ngô minh hưởng
其母光淑皇太后吳氏清化安定洞滂人也,kì mẫu quang thục hoàng thái hậu ngô thị thanh hoá yên định động bàng nhân dã
太后遣黎桓選勇士拒之以南󰀋江人范巨俩爲大將軍,thái hậu khiển lê hoàn tuyển dũng sĩ cự chi dĩ nam sách giang nhân phạm cự lạng vi đại tướng quân
𠬠茹埃拱𨔍𨓡𠸦劳,một nhà ai cũng lạ lùng khen lao
畧䀡尋世爫頭,trước xem tầm thế làm đầu
欽㢤慎勿固辝,khâm tai thận vật cố từ
東征王伏于龍城内翊聖武德二王各自伏于廣福門内侯太子至襲之,đông chinh vương phục vu long thành nội dực thánh võ đức nhị vương các tự phục vu quảng phúc môn nội hậu thái tử chí tập chi
頭髮無汗而塵灰揚者是後至不及救者也,đầu phát vô hãn nhi trần khôi dương giả thị hậu chí bất cập cứu giả dã
帝即移舟問太師陳守度,đế tức di chu vấn thái sư trần thủ độ
果如其言當有重賞,quả như kì ngôn đương hữu trọng thưởng
群暈𦝄泊群𠳒願初,còn vừng trăng bạc còn lời nguyền xưa
癸未九年十月以後真宗福泰元年明崇禎十六年,quý mùi cửu niên thập nguyệt dĩ hậu chân tông phúc thái nguyên niên minh sùng trinh thập lục niên
自知業短益縱為逸樂焉〇,tự tri nghiệp đoản ích tung vi dật lạc yên 
突 夷 払 吏 䝉 徐,rụt rè chàng lại mong chờ
餘哀,dư ai
詩文𡕷出詞臣之表,thi văn quýnh xuất từ thần chi biểu
易𤍶𦀫𧺀腀針,dễ loà yếm thắm trôn kim
諸諳漢語者奉㫖接話自辰至午怒氣益厲帝令侍御史阮忠彦出迎,chư am hán ngữ giả phụng chỉ tiếp thoại tự thìn chí ngọ nộ khí ích lệ đế lệnh thị ngự sử nguyễn trung ngạn xuất nghênh
尚祈國中耆舊臣僚同寅恊恭以称朕𢙇來之德,thượng kì quốc trung kì cựu thần liêu đồng dần hiệp cung dĩ xứng trẫm hoài lai chi đức
𦊚𦀊𫰅𡮈蹺韻宮問,bốn dây to nhỏ theo vần cung vấn
武公󰘚𪖫暢珍,võ công mặt mũi sướng trân
坦 𦓿 牛 隘 𪽏 秧 花,đất cày ngõ ải luống ương hoa
其或崩薨禪讓在某年之春夏則是年爲後帝後王在位之首年而春夏之月爲前帝前王之奇零月如崩薨禪讓在嵗終逆數在位之年猶有不盡之月亦爲奇零月,kì hoặc băng hoăng thiền nhượng tại mỗ niên chi xuân hạ tắc thị niên vi hậu đế hậu vương tại vị chi thủ niên nhi xuân hạ chi nguyệt vi tiền đế tiền vương chi kì linh nguyệt như băng hoăng thiền nhượng tại tuế chung nghịch số tại vị chi niên do bất tận chi nguyệt diệc vi kì linh nguyệt
冬十月築眾僊臺,đông thập nguyệt trúc chúng tiên đài
三月明遣使來求僧人二十名,tam nguyệt minh khiến sứ lai cầu tăng nhân nhị thập danh
庚寅崇興大寶二年宋皇祐二年,canh dần sùng hưng đại bảo nhị niên tống hoàng hựu nhị niên
席 耒 辞 謝 𠬠 𠄩,tiệc rồi từ tạ một hai
賊溺死甚眾󰱐四十人及舟船馬疋噐械以献〇,tặc nịch tử thậm chúng hoạch tứ thập nhân cập chu thuyền mã thất khí giới dĩ hiến 
𢜠忱准𧘇𫳘排,mừng thầm chốn ấy chữ bài
傳軍令𬺗帳前他𣦍,truyền quân lệnh xuống trướng tiền tha ngay
𦹵高欣𡱩柳𤷍𢽼分,cỏ cao hơn thước liễu gầy vài phân
一前後李南帝乃當時稱號非真即皇帝位故生,nhất tiền hậu lý nam đế nhưng đương thời xưng hiệu phi chân tức hoàng đế vị cố sinh
元封為安南國王及元敗衂心懷愧卒于北地〇,nguyên phong vi an nam quốc vương cập nguyên bại nục tâm hoài quý tốt vu bắc địa 
欺𫳵風錦𢷀󰑼,khi sao phong gấm rủ là
𢆥 𠬠 𠦳 𤾓 被 𠊛 日 驅 逐 沛 𧗱 艚,năm một nghìn trăm bị người nhật khu trục phải về tàu
贈都督同知韜郡公莫敬門爲左都督,tặng đô đốc đồng tri thao quận công mạc kính môn vi tả đô đốc
命偏将入沿邊諸洞招諭逃亡使各㱕業,mệnh thiên tướng nhập duyên biên chư động chiêu dụ đào vong sử các quy nghiệp
社長類取姓名本府縣州逐一覆實,xã trưởng loại thủ tính danh bản phủ huyện châu trục nhất phúc thực
㐌衝身世群算浽芇,đã xong thân thế còn toan nỗi nào
六月三江大水或謂󰇼取龍椆木進用故有是災,lục nguyệt tam giang đại thuỷ hoặc vị thái thủ long trù mộc tiến dụng cố hữu thị tai
咹之高𢀲悌陀爫𫳵,ăn gì cao lớn đẫy đà làm sao
十二月節制鄭松𭁈諸将議收兵乃下令撤兵循,thập nhị nguyệt tiết chế trịnh tùng dữ chư tướng nghị thu binh nãi hạ lệnh triệt binh tuần
仍自連𡉦桃絲,những từ sen ngó đào tơ
勑停砌宫城以屡奏不登米價騰踊故緩之,sắc đình thế cung thành dĩ lũ tấu bất đăng mễ giá đằng dũng cố hoãn chi
厨󰠲𬂙体裊車,chùa đâu trông thấy nẻo xa
當欺过対咹𠓨拱𩛂,đương khi quá đói ăn vào cũng no
𨅸𨖲雲買𤋵排蔑𠄩,đứng lên vân mới giãi bày một hai
及至破之擒其將而還,cập chí phá chi cầm kì tướng nhi hoàn
定功行封授黎輔陳御史大夫仍以昭聖公主㱕之,định công hành phong thụ lê phụ trần ngự sử đại phu những dĩ chiêu thánh công chúa quy chi
志𭸓𢏑鴈边𩄲,chí unk bắn nhạn ven mây
𠸦朱仍𠰘容𨱽,khen cho những miệng dông dài
事𰿘𫷜𬟗計之碑𣇞,sự muôn năm cũ kể chi bây giờ
國父以重臣奉命致偽主制能出奔制能奔爪哇求援但立種酋阿難為效城亞王,quốc phụ dĩ trọng thần phụng mệnh trí nguỵ chủ chế năng xuất bôn chế năng bôn trảo oa cầu viện đản lập chủng tù a nan vi hiệu thành á vương
寨人楊度不納,trại nhân dương độ bất nạp
然耽于酒色不正其終,nhiên đam vu tửu sắc bất chính kì chung
埃埃𬂙体魂󰟹魄淶,ai ai trông thấy hồn kinh phách rời
油 浪 否 極 固 分 泰 来,dù rằng bĩ cực có phần thái lai
𤄯創,trong sáng
先是帝立陳暠,tiên thị đế lập trần cảo
黎明統領官富郡公鄭根親提大兵登勇决山整排陣勢堂堂耀威震武相機分差接戦,lê minh thống lĩnh quan phú quận công trịnh căn thân đề đại binh đăng dũng quyết sơn chỉnh bài trận thế đường đường diệu uy chấn vũ tướng cơ phân sai tiếp chiến
洪惟順天年間𡸈稔屡登以至紹平大寶休徵荐至,hồng duy thuận thiên niên gian khởi nẫm lũ đăng dĩ chí thiệu bình đại bảo hưu trưng tiến chí
其冊文曰謹󰔄后以圖幾思底泰和之治體周官而錫命盍󰏲尊貴之文,kì sách văn viết cẩn ngu hậu dĩ đồ cơ tư để thái hoà chi trị thể chu quan nhi tích mệnh hạp kê tôn quý chi văn
又有雨下金如土雨下米如黒雨下酒如,hựu hữu vũ hạ kim như thổ vũ hạ mễ như hắc vũ hạ tửu như
催時󰞺玉散鐄時催,thôi thì nát ngọc tan vàng thì thôi
六失年間天下太平,lục thất niên gian thiên hạ thái bình
仍如欧厌㮠外,những như âu yếm vành ngoài
又一体云,hựu nhất thể vân
尉黎荗昭為延郡公文郎子阮弘裕為安和侯鄭惟㦃為美惠侯清華總兵僉事阮伯俊改伯佺為禮部尚書由禮伯清華承宣使黎嵩為吏部尚書󰦛書伯清華參政阮時雍為御史󰱑都御史良文伯譚慎徽為刑部尚書翰林院侍讀參掌翰林院事梁得朋為吏部左侍郎,uý lê mậu chiêu vi diên quận công văn lang tử nguyễn hoằng dụ vi an hoà hầu trịnh duy sản vi mĩ huệ hầu thanh hoa tổng binh thiêm sự nguyễn bá tuấn cải bá thuyên  vi lễ bộ thượng thư do lễ bá thanh hoa thừa tuyên sứ lê tung vi lại bộ thượng thư đôn thư bá thanh hoa tham chính nguyễn thì ung vi ngự sử đài đô ngự sử lương văn bá đàm thận huy vi hình bộ thượng thư hàn lâm viện thị độc tham chưởng hàn lâm viện sự lương đắc bằng vi lại bộ tả thị lang
十一月朔光紹帝回到東河,thập nhất nguyệt sóc quang thiệu đế hồi đáo đông hà
捥𦝄𡶀覩拮頭𧖱沙,uốn lưng núi đổ cất đầu máu sa
作,tác
圖物,đồ vật
除朱歇刼群之󰑼身,chờ cho hết kiếp còn gì là thân
宫琴𥪞月渃碁𠁑花,cung cầm trong nguyệt nước cờ dưới hoa
後吕岱平士徽亂改置長吏章明王綱威,hậu lữ đại bình sĩ huy loạn cải trí trưởng lại chương minh vương cương uy
時憲雷陽福豪人〇,thời hiến lôi dương phúc hào nhân 
𡄎綠奇遇初𫢩,gẫm duyên kỳ ngộ xưa nay
諸将宜戒戢将士嚴申軍約整飭部伍號令明信,chư tướng nghi giới tập tướng sĩ nghiêm thân quân ước chỉnh sức bộ ngũ hiệu lệnh minh tín
丁巳十二年宋慶三年,đinh tị thập nhị niên tống khánh tam niên
尊母黎氏為國聖皇太后一云保聖國母〇,tôn mẫu lê thị vi quốc thánh hoàng thái hậu nhất vân bảo thánh quốc mẫu 
以大寶三年壬戌七月二十日誕生,dĩ đại bảo tam niên nhâm tuất thất nguyệt nhị thập nhật đản sinh
吏 群 仉 𢘽 𫢩 𬨨 呆,lại còn kẻ dại nay quá ngốc
賊兵死者塞河河水皆赤,tặc binh tử giả tái hà hà thuỷ giai xích
定扈從留守二十四條,định hộ tòng lưu thủ nhị thập tứ điều
其子有啓求救於是命瓊岩公鄭棣進兵太原攻髙平獲趙有濤并家属調回京諭以和睦遣還本州,kì tử hữu khải cầu cứu ư thị mệnh quỳnh nham công trịnh lệ tiến binh thái nguyên công cao bằng hoạch triệu hữu đào tịnh gia thuộc điều hồi kinh dụ dĩ hoà mục khiển hoàn bản châu
良緣解逅意󰑼緣天,lương duyên giải cấu ý là duyên thiên
仍賛總戎軍政治直󰒜常州府人初爲大理少卿,nhưng tán tổng nhung quân chính trị trực lệ thường châu phủ nhân sơ vi đại lí thiếu khanh
貴雅應制落韻被黜,quý nhã ứng chế lạc vận bị truất
今欲詣,kim dục nghệ
十六日殿試進士命入内檢校司徒平章事阮耒入内都督同平章事知東道諸衛軍國子監祭酒黎念提調,thập lục nhật điện thí tiến sĩ mệnh nhập nội kiểm hiệu tư đồ bình chương sự nguyễn lỗi nhập nội đô đốc đồng bình chương sự tri đông đạo chư vệ quân quốc tử giám tế tửu lê niệm đề điệu
尋󰠲時拱別信𤑟𤉜,tìm đâu thì cũng biết tin rõ ràng
名聞北虜每稱安南興道王而不名,danh văn bắc lỗ mỗi xưng an nam hưng đạo vương nhi bất danh
󰘚如藍覩身羕󰕵󰠖,mặt như chàm đổ thân dường dẽcầy run
是歳天下飢,thị tuế thiên hạ cơ
帝不許,đế bất hứa
𫥨 分 芇 琼 拱 𢬇 奇,ra phân nào quỳnh cũng giữ cả
月娥停胣於耒,nguyệt nga đành dạ ở rồi
㤕㝵揨𫔳𣋚埋,xót người tựa cửa hôm mai
福 茄 禄 渃 洡 𤁓 奇 𠄩,phúc nhà lộc nước dồi dào cả hai
取鄧乙御天縣海湖人廷試進士出身等十七人,thủ đặng ất ngự thiên huyện hải hồ nhân đình thí tiến sĩ xuất thân đẳng thập thất nhân
達鎌𢶒甲𠓀𡑝叩頭,đặt gươm cởi giáp trước sân khấu đầu
取合格阮公望等五名,thủ hợp cách nguyễn công vọng đẳng ngũ danh
是歲盗賊兢起,thị tuế đạo tặc cạnh khởi
裊賒買𤏣𩈘𠊛,nẻo xa mới tỏ mặt người
庚戌八年清康熙九年春三月火星入南斗〇,canh tuất bát niên thanh khang hi cửu niên xuân tam nguyệt hoả tinh nhập nam đẩu 
𠃩 逐 韶 光 固 𠇍,chín chục thiều quang có mấy
至是元人入冦遂降之冀有其國,chí thị nguyên nhân nhập khấu toại hàng chi ký hữu kì quốc
𬂙𦋦𦰟𦹵𦲿𣘃,trông ra ngọn cỏ lá cây
冬十月十五日帝崩,đông thập nguyệt thập ngũ nhật đế băng
是月明人又使委官王建立就我國催貢會勘,thị nguyệt minh nhân hựu sử uỷ quan vương kiến lập tựu ngã quốc thôi cống hội khám
花 浪 計 准 清 台,hoa rằng kể chốn thanh thơi
况東䦕乎討未為甚失矣,huống đông quan hồ thảo vị vi thậm thất hĩ
傍乃洒字鄭文洒也師回作此詩未及流傳而姦情敗露,bàng nãi sái tự trịnh văn sái sái sư hồi tác thử thi vị cập lưu truyền nhi gian tình bại lộ
發現,phát hiện
十七日追尊母鄭氏爲徽慈荘惠建皇太后,thập thất nhật truy tôn mẫu trịnh thị vi huy từ trang huệ kiến hoàng thái hậu
猷怨愈深,du oán dũ thâm
國王遁走,quốc vương thuẫn tẩu
其姓名曰陳克終,kì tính danh viết trần khắc chung
𠬠念䦕塞󰋇務𫗄𦝄,một niềm quan tái mấy mùa gió trăng
強嗷喭浽強魚謹󰟯,càng ngao ngán nỗi càng ngơ ngẩn dường
尋官麻吏﨤䘮,tìm quan mà lại gặp tang
𢺹 𠀧 姉 朱 㛪 撝 𠬠 分,chia ba chị cho em vay một phần
范篤阮倦等船兵亦順流而下两岸兵象奮力爭先,phạm đốc nguyễn quyện đẳng thuyền binh diệc thuận lưu nhi hạ lưỡng ngạn binh tượng phấn lực tranh tiên
武威王唯太宗之子亦為之,vũ uy vương duy thái tông chi tử diệc vi chi
𠄼𧷺如改宫𫡮,năm tròn như gởi cung mây
左参政侯保守黃江堡建昌人阮述攻殺之,tả tham chính hầu bảo thủ hoàng giang bảo kiến xương nhân nguyễn thuật công sát chi
𨒒㝵𣃣細隘同,mười ngày vừa tới ải đồng
断膓朱歇刼尼買催,đoạn trường cho hết kiếp này mới thôi
書毛伯温參賛軍敄徃討之,thư mao bá ôn tham tán quân vụ vãng thảo chi
失驚娘渚別󰑼爫牢,thất kinh nàng chửa biết là làm sao
賜鹵簿司同監梁登為都監,tứ lỗ bộ ti đồng giám lương đăng vi đô giám
𣎀𣈜𡨹墨酉觥,đêm ngày giữ mực dấu quanh
共 饒 㐌 𥘀 𠳒 𡽫 著,cùng nhau đã nặng lời non nước
意󰑼情󰠱意󰑼恩溇,ấy là tình nặng ấy là ân sâu
守度𨿽為宰相而凣事罔不加意,thủ độ tuy vi tể tướng nhi phàm sự võng bất gia ý
冬十月占人㓂清化范古無命季犛将兵禦之,đông thập nguyệt chiêm nhân khấu thanh hoá phạm cổ vô mệnh quý li tương binh ngự chi
意觧天爵等復就職,ý giải thiên tước đẳng phục tựu chức
吀 柴 拠 𫥨 保 廊 重 朱 𤾓 貫,xin thầy cứ ra bảo làng trọng cho trăm quan
時庭堅留守山南治事廉平盗息民安故特擢陞二次,thời đình kiên lưu thủ sơn nam trị sự liêm bình đạo tức dân an cố đặc trạc thăng nhị thứ
唐高王平南詔兵還過武寧州夜夢異人稱高魯曰昔輔安陽王有却敵大功被貉侯譖去之没後天帝憫其無過命賜一條江山管領都統將軍征討寇賊及農時稼穡皆主之,đường cao vương bình nam chiếu binh hoàn quá vũ ninh châu dạ mộng dị nhân xưng cao lỗ viết tích phụ an dương vương hữu khước địch đại công bị lạc hầu tiếm khứ chi một hậu thiên đế mẫn kì vô quá mệnh tứ nhất điều giang sơn quản lĩnh đô thống tướng quân chinh thảo khấu tặc cập nông thời giá sắc giai chủ chi
𢜠 酬 酢 主 賓 𢝙 闈,mừng thù tạc chủ tân vui vầy
焒,lửa
是歲,thị tuế
己卯八年宋元符二年,kỉ mão bát niên tống nguyên phù nhị niên
熒惑𭁈歳星合宿在畢度容一指相接,huỳnh hoặc dữ tuế tinh hợp túc tại tất độ dung nhất chỉ tương tiếp
己未六年元延祐六年夏四月凍林東天王津崩十丈,kỉ mùi lục niên nguyên diên hựu lục niên hạ tứ nguyệt đống lâm đông thiên vương tân băng thập trượng
𦋦 踈 朗 月 拠 韻 浪,ra thơ lãng nguyệt cứ vần rằng
十二日早明人張輔率都督黄中都指揮蔡福攻多邦城之西北,thập nhị nhật tảo minh nhân trương phụ suất đô đốc hoàng trung đô chỉ huy thái phúc công đa bang thành chi tây bắc
云人事脩則天時和,vân nhân sự tu tắc thiên thời hoà
物料,vật liệu
𠓀朱補恄仍𠊛,trước cho bõ ghét những người
會賊黨南郡峩郡俱死官軍大勝收󰱐船艘婦,hội tặc đảng nam quận nga quận câu tử quan quân đại thắng thu hoạch thuyền sưu phụ
自春徂夏不武,tự xuân tồ hạ bất vũ
教授阮昭甫為監察御史昭甫上疏有可采故也,giáo thụ nguyễn chiêu phủ vi giám sát ngự sử chiêu phủ thượng sớ hữu khả thái cố dã
十二月詔禁軍廵捕諸路盗刧〇,thập nhị nguyệt chiếu cấm quân tuần bổ chư lộ đạo kiếp 
芇疑拱祖姂𫅷,nào ngờ cũng tổ bợm già
於低𢭗𤍇󰝺皮茦湯,ở đây nương náu toan bề thuốc thang
欽德皇后謚󰦛節亦自投于火,khâm đức hoàng hậu thuỵ đôn tiết  diệc tự đầu vu hoả
㨿牢𢧚浽達𥋳󰡫尼,cớ sao nên nỗi đặt coi thế nàỵ
春正月詔百官女不得先適人俟󰱇克掖庭後不入󰱇者然後許嫁,xuân chính nguyệt chiếu bách quan nữ bất đắc tiên thích nhân sĩ tuyển khắc dịch đình hậu bất nhập tuyển giả nhiên hậu hứa giá
可謂朝無人矣,khả vị triều vô nhân hĩ
秋七月五日哀牢又反攻遠忙,thu thất nguyệt ngũ nhật ai lao hựu phản công viễn mường
翠翹才色埃皮,thuý kiều tài sắc ai bì
㐌停分萡坤填情鍾,đã đành phận bạc khôn đền tình chung
臣人之所共憤天地之所不容,thần nhân chi sở cộng phẫn thiên địa chi sở bất dung
太原刼黨廉郡公缺名亦率本部黨五千人來降,thái nguyên kiếp đảng liêm quận công khuyết danh diệc suất bản bộ đảng ngũ thiên nhân lai hàng
淡仙娘𧘇初󰑼𰙔兒,đạm tiên nàng ấy xưa là ca nhi
贈中書令字號侯諡惠知,tặng trung thư lệnh tự hiệu hầu thuỵ huệ tri
皇帝陛下於萬幾之暇講明治道讀趙丁李陳之事則知天命人心之去留識國統󰘊圖之隆賛辨君子小人之消長察氣数風俗之盛衰而歷代政事之得失可得而明矣,hoàng đế bệ hạ ư vạn cơ chi hạ giảng minh trị đạo độc triệu đinh lí trần chi sự tắc tri thiên mệnh nhân tâm chi khứ lưu thức quốc thống bang đồ chi long tán biện quân tử tiểu nhân chi tiêu trưởng sát khí số phong tục chi thịnh suy nhi lịch đại chính sự chi đắc thất khả đắc nhi minh hĩ
渚 年 花 倣 㐌 羕 包,chứ niên hoa phỏng đã dường bao
缺名檻送京師令斬之于草津,khuyết danh hạm tống kinh sư lệnh trảm chi vu thảo tân
是年録唐囊戦功,thị niên lục đường nang chiến công
及東巡駕回天德江大來茘枝𭁈阮氏路通宵而崩,cập đông tuần giá hồi thiên đức giang đại lai lệ chi dữ nguyễn thị lộ thông tiêu nhi băng
𤤰 官 士 庶 𠊚 渃,vua quan sĩ thứ người nước
歲尼改貝𦹵𣘃拱皮,tuổi này gửi với cỏ cây cũng vừa
會二胡西,hội nhị hồ tây
因謂助曰國新被寇使者行矣寡人方日夜整装入見天子,nhân vị trợ viết quốc tân bị khấu sứ giả hành hĩ quả nhân phương nhật dạ chỉnh trang nhập kiến thiên tử
朱𧷺仁󰒂辰欣泊鐄,cho tròn nhân nghĩa thì hơn bạc vàng
喂傕昆𬑉㐌芒愁愁,ôi thôi con mắt đã mang sầu sầu
英姉㛪,anh chị em
夏四月會試天下士人,hạ tứ nguyệt hội thí thiên hạ sĩ nhân
十二月殿試上親御筆賜阮登鎬進士及第第三名阮曰舉進士出身范文達等十五名同進士出身,thập nhị nguyệt điện thí thượng thân ngự bút tứ nguyễn đăng cảo tiến sĩ cập đệ đệ tam danh nguyễn viết cử tiến sĩ xuất thân phạm văn đạt đẳng thập ngũ danh đồng tiến sĩ xuất thân
