nom,vi
𡮈 疎 徐 𣇫 𢧚 𠄩,ỏ ơ ừ ở ê 
𠸒 朱 信 寔 矯 差 性 常,ả  í ự ẻ  í ườ
𨀈 功 名 𢝙 𡗋 拱 𢗼 𡗉,ướ ô   ắ ũ  ề
𠰺 𡥵 禮 義 讓,ạ  ễ ĩ ườ
道 爫 𠊛 意 𤍊 詳 講 明,đạ à ườ ấ ỏ ườ ả 
𤳇 时 芸 業 習 情, ờ ề ệ ậ à
𡛔 时 針 𥙩 𨉟 朱 衝,á ờ ă ấ ì  
𥪝 𨉞 聀 㐌 欣 埃 眈 𦰟 椥, ư ắ đã ơ  đơ ọ 
餒 𡥵 麻 抵 制 空,ô  à để ơ ô
仃 窖 洫 之 藝 劍 𩵜,đừ á ứ  ề ế á
𫽄 外 茶 𨢇 时 𥪝 棋 排,ẳ à è ượ ì  ờ à
塘 名 利 荣 箕 𦓡 辱 妬,đườ  ợ   à ụ đó
筓 冠 𣃣 旦 歲 尼,ê  ừ đế ổ à
㐌 欺 挸 壻 吏 𣈜 掄 妯,đã  é ể ạ à ọ â
固 辰 恾 𥙩 㗂 𢱖 𢬣 𥪝 被,ó ì  ấ ế ú   ị
停 迷 𧵑 𠤆 尚 𢀭,đừ ê ủ ớ ộ à
窖 迷 瞞 之 事 咹 𥸷,é ê   ự ă ô
停 貪 准 貴 𠤆 求 𢀨,đừ  ố ý ớ ầ 
惨 典 埃 拍 𦲿 尋 溇,ả đế  ạ á ì â
持 𢚸 坦 𠅎 𢚸 𢪀 牢 朱 沛,đượ ò đấ ấ ò ĩ   ả
𫨩 之 事 諌 𥑥 𦋦 𦟐,  ự á à  ỡ
𫃚 古 猫 撩 古 㹥 典 勢 辰 催,ộ ổ è  ổ ó đế ế ì ô
撑 𣠶 𢚸 庒 𢪀 之 袄 主 粓 𤤰, đỏ ò ẳ ĩ  á ú ơ 
於 厨 炪 厨 計 理 之 徒,ở ù đố ù ể ý  đồ
節 春 夜 天 清 雲 静,ế â ạ ê  â ĩ
准 旅 庭 聀 醒 更 𣌉,ố ữ đì ấ ỉ  
𦖻 𦖑 咏 𦊛 皮,  ẳ ư ề
𦎛 娥 𤊨 𤋵 掑 桂 蘭,ươ  ặ ã ề ế 
𧡊 𦝄 脱 動 𢚸 鐄,ấ ă á độ ò à
吟 句 問 月 度 昂 𠇍 𠳒,â â ấ ệ đọ  ấ ờ
𠳨 姨 月 𠇍 𡢐,ỏ ì ệ ấ 
縁 故 𪱊 𦓡 特 清 台,ê ớ  à đượ ả ơ
月 浪 物 𢬭 𣋀 移,ệ ằ ậ đổ  ờ
𦎛 尼 𡗶 底 朱 𠊚 終,ươ à ờ để  ườ 
爫 朱 痗 𤻻 英,à  ỏ ệ 
𠦳 秋 霜 雪 𢚸 清 光,à  ươ ế ò  
𠳨 姨 月 固 塘 𨕭 細,ỏ ì ệ ó đườ ê ớ
准 宮 别 𠇍 𨑮 賖,ố  ế ấ ươ 
月 浪 些 吏 𠇍 些,ệ ằ  ạ ấ 
固 𣘃 丹 桂 𧘇 𪜀 姉 㛪,ó â đ ế ấ à ị 
英 𨀈 細 度 䀡, ướ ớ đọ 
箕 𦎛 玉 兔 怒 簾 水 晶, ươ ọ ỏ ọ è ỷ 
𠳨 姨 月 固 情 庒 些,ỏ ì ệ ó ì ẳ á
渚 年 花 倣 㐌 羕 包,ứ ê  ỏ đã ườ 
月 浪 要 柳 疎 桃,ệ ằ ế ễ ơ đà
強 𨖲 強 𤏣 強 高 強 𧷺,à ê à ỏ à  à ò
𬌓 𦎛 𤊨 拯 𤷱,ấ ươ ặ ẳ ò
包 饒 星 斗 𡥵 丐 茹, ê  đẩ  á à
𠳨 姨 月 姮 娥 𠇍 𢆫,ỏ ì ệ ằ  ấ ổ
拠 𣈜 𠄻 𦤾 最 辰 𫥨,ứ à ằ đế ố ì 
月 些 吏 别 些,ệ  ạ ế 
冥 冥 長 夜 埃 吏 别 埃,  à ạ  ạ ế 
丕 𢧚 𩈘 擂 𠁀,ậ ê ặ  đờ
别 尼 岩 險 别 𠊛 邪 奸,ế ơ  ể ế ườ à 
𧡊 月 呐 𢚸 強 𢞅 月,ấ ệ ó ò à ê ệ
婿 时 掄 几 賢 良,ể ì ọ ẻ ề ươ
妯 时 𡬶 几 端 𣐱 蒓,â ì ì ẻ đ  ầ
道 齊 家 於 正 身,đạ ề  ở í â
𧵑 朱 𡥵 沛 均 分 買 和,ủ   ả â â ấ à
爫 身 𡥵 𡛔 弹 婆,à â  á đà à
𡨺 調 貞 節 𢖮 榮,ữ đề  ế ắ 
肝 如 鉄 胣 如 鐄, ư ắ ạ ư à
𢚸 常 如 柏 𦛌 常 如 樁,ò ườ ư á ộ ườ ư ô
欺 𡢐 欺 𢚸,   ò
欺 常 欺 變 拱 空 恪, ườ  ế ũ ô á
壽 耆 福 祿 顯 荣,ọ ì ú ộ ể 
尼 尼 𡗶 坦 傷 腰,ơ ơ ờ đấ ươ ê
别 𢚸 些 固 月 咍 庒,ế ò  ó ệ  ă
𨀈 𨕭 朱 𦤾 宮 𦝄,ướ ê  đế  ă
結 縁 朱 特 娥 姮 買 他,ế ê  đượ  ằ ớ 
𦝄 𠇍 吏 些,ă ấ ạ 
别 饒 只 固 更 𠀧 點 從,ế  ỉ ó   để ù
月 拱 㦖 嚈 𢚸 吏 𠳨,ệ ũ ố ướ ò ạ ỏ
𡓃 塵 間 𡓃 爫,ố ầ  ố à
局 𠁀 䀡 似 占 包,ộ đờ  ự ê 
公 侯 卿 相 噋 哰 𥪝 𨦩,ô ầ  ươ ô   ò
挣 𠑬 為 𡭲 唏 銅,  ì ú ơ đồ
𫽅 𠑬 為 𠰘 鼎 鍾 𧵑 𡗶,ướ  ì ế đỉ  ủ ờ
月 吏 𠳨 𦤾 𠊚 君 子,ệ ạ ỏ đế ườ â ử
𣇜 雲 雷 堆 𡨸 經 綸,ổ â ô đô ữ  â
些 𠺘 㐌 固 聖 神, ằ đã ó á ầ
𫥨 𢬣 撥 乱 𢧚 身 致 平,  á ạ ê â í ì
群 坊 逐 利 貪 名,ò ườ ụ ợ  
拯 戈 如 傳 螟 蛉 虶,ẳ  ư ệ   ò
𤑟 𤉜 𢬣 𢯏 桂 長 安,õ à  ẻ ế ườ 
些 𩵜 渃 𪀄 岸, á ướ  à
𠁀 芇 拯 鳳 凰 鯨 鯢,đờ à ẳ ượ à ì ê
些 𠳨 月 𢠐 𢠐, ỏ ệ ơ ơ
月 𠳨 些 疎 矧 矧 疎,ệ ỏ  ơ ẩ ẩ ơ
䒹 花 𩙌 拂 披,ồ  ó ấ ơ
休 休 𩙌 𠺙 香 迻 嗷,ư ư ó ổ ươ đư à
更 強 演 月 強 高, à ễ ệ à 
月 些 些 月 别 包 饒 情,ệ   ệ ế  ê ì
𠇍 句 吟 准 旅 庭,ấ â â ố ữ đì
固 埃 别 月 别 𨉓 咍 庒,ó  ế ệ ế ì  ă
月 吏 𠳨 棱 儒 𠇍 仉,ệ ạ ỏ ừ  ấ ẻ
鬼 神 扶 䕶 别 包 調 𫅜,ỷ ầ ù ộ ế  đề à
𠊛 貞 順 名 𠁀,ườ  ậ  đờ
本 𠊚 𣄒 北 寧 𫢩,ố ườ ở ắ  
廊 扶 董 縣 僊 遊,à ù đổ ệ ê 
媄 吒 固 㗂 茄 𢀭,ẹ  ó ế à ầ
富 堪 敵 國 𥚯 歐 𠇍 𠊚,ú  đị ố ễ â ấ ườ
只 嫌 没 餒 咴,ỉ ề ộ ỗ 
𧵆 𠄼 𨑮 𣠖 𠊚 承 家,ầ ă ươ ư ườ ừ 
求 低 拜 妬 𧵆 賖,ầ đâ á đó ầ 
爫 緣 爫 福 𠸥 陀 包 尼,à ê à ú ể đà  ơ
𢆧 𫳵 𡗶 拯 負 𠊚,  ờ ẳ ụ ườ
𣄒 𫅜 吏 享 福 𡗶 空 差,ở à ạ ưở ú ờ ô 
没 𣋚 𩅹 𩆐 㘇 𡗶,ộ ô ư ấ  ờ
𡑰 固 𨃴 蹎 𠊚 窒 𡚢,ườ ó ó â ườ ấ 
老 婆 此 𥙩 蹎 搊,ã à ử ấ â 
𢜠 脱 報 𣘃 枯 木,ừ á á â ô ọ
懷 胎 欣 没 𢆥 𡗶,à  ơ ộ ă ờ
𪀄 𬊽 羕 㕸 𦤾 回 𦬑 𫥨, ê ườ ắ đế ồ ở 
富 翁 没 聀 南 柯,ú ô ộ ấ  
𥊚 𥇀 𠫾 細 没 座 天 宮,ơ à đ ớ ộ à ê 
楼 抬 𠄼 式 𩄲 封,â đà ă ứ â 
𧏵 朝 陛 玉 香 籠 座 蓮,ồ ầ ệ ọ ươ ồ à 
百 官 朝 服 𠄩 边,á  ề ụ  ê
没 𠊚 占 占 𨕭 凱 鐄,ộ ườ  ẻ ê  à
𠳨 𫥨 買 玉 皇,ỏ  ớ ọ à
𫆍 𦖻 𦖑 特 𤑟 𤉜 的,ắ   đượ õ à đí
玉 皇 召 没 將 𨖲,ọ à ệ ộ ướ ê
𨉓 高 𠀧 丈 𩈘 黰 𢬣 𨱽,ì   ượ ặ đ  à
𢖵 𠸗 双 鳳 奇 縁,ớ ư  ụ ỳ ê
跡 𠁀 漢 代 留 傳 呐 𥹰,í đờ á đạ ư ề ó â
原 𠊚 圭 於 越 州,ê ườ ê ở ệ â
結 堆 陶 氏 晋 秦 縁,ế đô đà ị ấ ầ ê
空 𤳇 𮈟 後 承 前,ô  ế ậ ừ ề
𡗶 朱 生 特 𠬠 䝨 美 娘,ờ   đượ ộ ề ĩ ươ
㛼 𫯳 𢜠 𫺙 妖 傷,ợ ồ ừ ỡ ê ươ
噠 𠸜 皓 月 王 祥 昭 君,đặ ê ệ ệ ươ ườ ê â
歲 皮 𠄩 糁 青 春,ổ ừ  á  â
䀡 𫥨 鴈 落 沈 埃 當,  ạ ạ ầ  đươ
女 工 竒 𤾓 唐,ữ ô ả ă đườ
聪 明 性 質 諳 祥 書 詩,ô  í ấ  ườ ư 
媄 吒 貴 化 妖 為,ẹ  ý á ê ì
玉 𫅜 徐 聘 期 丈 夫,ọ à ờ á ì ượ 
𦝄 﨤 𣅶 务 秋,ă ặ ú ù 
𢝙 𨔈 賞 月 跡 留 明 皇, ơ ưở ệ ế ư  à
昭 君 膝 下 承 歓,ê â ấ ạ ừ 
告 辞 娘 皮 算 阻 鞋,á ừ à ừ  ở à
瞇 𣊍 職 桂 魂 梅,ơ à ấ ế ồ 
夢 中 丿 𧡊 聘 𬛕 漢 皇,ô  ú ấ á  á à
占 包 當 𣅶 更 残,ê  đươ ú  à
龍 顔 空 易 麻 假 真,  ô ễ à ả â
定 心 夢 源 干,đị â ộ ồ ơ
推 𠫾 𢪀 吏 舌 欣 論 盤, đ ĩ ạ ệ ơ ậ à
𢝙 𢚸 𠰘 𠳨, ò ệ ỏ
圭 貫 紅 顔 𤍊 排,ê á ồ  õ à
双 親 群 𠅎 呐 𣦍, â ò ấ ó 
㐌 尼 結 𩯀 𫨩 𠫅 房 空,đã ó ế ó  đầ ò ô
娘 浪 監 禀 主 公,à ằ á ẩ ú ô
桃 疎 柳 要 待 𥉫 英 䧺,đà  ễ ế đợ ô  ù
越 州 父 母 於 拱,ệ â ụ ẫ ở ù
王 祥 号 妾 昭 君 𠸜 尼,ươ ườ ệ ế ê â ê à
漢 皇 𦖑 奏 𢜠 台,á à  ấ ừ 
西 宮 聀 意 封 𣦍 朱 娘,â  ứ ấ    à
昭 君 夜 欣 歓,ê â ạ â 
叩 頭 百 拜 圣 皇 吀,ấ đầ á á á à 
𫺓 朱 會 合 朝 中,ố  ộ ợ ề 
越 州 連 召 𧗱 窮 配 縁,ệ â ề ệ ề ù ố ê
𡽫 滝 匪 𠳒 願, ô ỉ ờ ề
漢 王 㐌 省 别 恬 占 包,á ươ đã ỉ ế đề ê 
𢯢 𨖅 衣 臨 朝,ử   â ê
喭 台 麻 唒 台,á  à ấ 
形 容 範 破 真 𢬣 似,ì  ạ ỡ â  ự
浪 稽 糝 𦧘 碎 音 我 𦋦,ằ ê ấ ị ô ầ ã 
拁 𢬣 𢫕 連 𢭮,ơ  ư ề ử
憲 官 浪 渚 諠,ế  ằ ớ ê
傳 悲 唉 𪹷 抵 些 仕 用,ệ  ã í để  ẽ ù
箕 𪀄 怒 蒲 𪇌,ì  ọ ồ ô
𤞨 昆 固 課 𨔈 拱 𤞻 星,ò  ó ở ơ ù ù 
固 番 拱 𢢂 固 𠳒 拱 傷,ó  ũ é ó ờ ũ ươ
乙 拱 固 意 情,ắ ũ ó ý ì
庒 空 埃 敢 𢫣 停 謨 制,ẳ ô  á á à  ơ
惜 台 𠊚 吏 𢵋 𠊛,ế  ườ ạ đ ườ
𥒥 尼 計 𥒥 非 常,đứ à ể đứ  ườ
眜 𥒥 肝,ắ đá 
佞 臣 欺 𧘇 滇,ị ầ  ấ 
仍 英 𡨺 役 共 專 候 仍,ữ  ữ ệ ũ ê ầ ằ
都 饒 促 使 曽 平,đ  ụ ỡ ư ừ
几 浪 𦋦 扒 几 浪,ẻ ằ  ắ ẻ ằ
𫙂 制 𦠆 埃 庄 固 圭 吒 坦 祖,â ơ ố  ẳ ó ê  đấ ổ
拮 固 始 終 几 罕 灰,ấ ó ỷ  ẻ ẳ 
姉 𠯅 嚛 知 呼,ị ứ á  ô
㐌 精 吏 諳,đã  ạ ò
憲 官 浪 渚 喑,ế  ằ ớ 
唉 朱 㛪 妸 仕 𥈶 性 情,ã  ê ả ẽ  í ì
油 沛 眾 奸,ù ả ú 
油 沛 眾 奸,ù ả ú 
体 些 動 樣 乙 情 眼 如,ấ  độ ạ ắ ì ở ơ
女 欺 粓 迻,ữ  ơ đư
牢 群 於 帝 闭 徐 庒 𦋦, ò ở đấ ấ ờ ẳ 
計 朱 实 几 肝,ể  ự ẻ 
𧘇 君 子 拱 丈 夫,ấ â ử ũ ượ 
咍 使 淑 𫔮 𨒣, ứ ụ à 
别 清 貴 謨 仙,ế  ý  ê
吏 媒 𤇮 急,ạ ụ ế í
𥙩 添 粓 女 吏 牢 楼,ấ ê ơ ữ ạ  ầ
扽 粓 買 啂 昆 侯 迻 添,ọ ơ ấ ủ  ầ đư ê
昆 侯 㖫 𠻴 𢫕 𨖲, ầ ẳ ặ ư ê
𠇮 猉 肝 𧑂 典 㙴 停 真,ì ầ  á đế ề ừ â
玉 清 𠰷 淚 分,ọ   ệ ầ
㖫 仍 胣 怒 秦 箕,ă ă ạ ọ ầ 
翁 阮 瓊 於 廊 安 域 縂 慈 光,ô ễ ỳ ở à ê ự ổ ừ 
欺 𨖲 𦉱 𨖲 𠔭 𢆫, ê ả ê á ổ
𥙩 𦲿 桎 爫 旗 𦲿 蓮 爫 㳥,ấ á ố à ờ á  à ộ
麻 吏 固 性 輕 𠊛,à ạ ó í  ườ
𠬠 𣋚 𫡉 最 中 秋,ộ ô ữ đê  
穷 𡥵 制 𦝄,ù  ơ ă
翁 意 保 𠎪 爫 轎 逴,ô ấ ả ũ à ệ ướ
辰 些 迻 眾 悲 𠫾 䀡 𠊛 頭 𡚢 朋 丐 蒲,ì  đư ú â đ  ườ đầ  ằ á ồ
𠎪 𦖑 𠳒 調 痗 𤻻 奇,ũ  ờ đề ỏ ệ ả
翁 瓊 保 眾 悲 強 𢪀 𠬠 祝,ô ỳ ả ú â à ĩ ộ ú
耒 騷 迻 𠫾 䀡,ồ  đư đ 
耒 迻 𠎪 𠓨 丐 茹 最,ồ đư ũ à á à ố
保 奇 低,ả ả đâ
仍 侈 𡭬 𬨨 空 𪾋 䀡,ữ đứ é ạ ô á 
只 侈 𢀲 於 吏 𦓡 僱,ỉ đứ ớ ở ạ à ố
箕 眾 悲 𥊛 𠓨 壁 𦓡 䀡,ì ú â ô à á à 
翁 𡚢 頭 㐌 𫥨 帝,ô  đầ đã  đấ
𠎪 如 洛 𥊛,ũ ư á ô
只 𧡊 俸 瓊 於 壁,ỉ ấ ó ỳ ở á
頭 𡚢 如 丐 蒲 寔,đầ  ư á ồ ậ
𠎪 别 翁 意 𩢬,ũ ế ô ấ ừ
生 𡎢 𢫔 拱 稽, ồ ệ ũ ê
肝 時 貞 時 猪, ì  ì ơ
粓 耒 從 且 闭 徐,ơ ồ  ả ấ ờ
𡥵 侯 别 意 𧗱 踈 每 𠳒, ầ ế ý ề ư ọ ờ
踈 浪 𨔍 𠁀,ư ằ ạ đờ
盆 情 喭 呐 仍 𠊚 凌 仍,ồ à á ó ữ ườ ă ă
假 噲 油 扲 朋,ả ố ù ầ ằ
抯 朱 散 丐 䋲 界 山,ả   á ằ ớ ơ
𧵑 窖 揚,ủ é 
粓 碎 𢫕 𫴋 産 床 連 唻,ơ ô ư ố ẵ à ề ơ
憲 官 浪 拱 唭,ế  ằ ũ ườ
𨖲 些 𠳨 𠳒 麻 𥋳,ê  ỏ ờ à 
昆 侯 𠳐 𠰺 罕 咴, ầ â ạ ẳ 
侯 差 蚤 𫴋 麻 隊 𤽗 𨖲,ầ   ố à đò ươ ê
𠳐 㖡 𢧚,â ạ ê
娘 皮 𧿨 𨃴 払 連 蹺 真,à ừ ở ó à ề  â
払 自 蹺 妸 𦋦 𡑝,à ừ  ả  â
襖 裙 𡲫 蘇,á ầ ả 
𫽄 𠲖 厲 𫽄 𢢆 𭉝,ẳ  ệ ẳ ẹ ò
𨆝 頭 爫 礼 肝 𠇮,ú đầ à ễ  ì
阻 𫥨 扒 琼 爫 逴 者,ở  ắ ỳ à ướ ả
辰 翁 意 嗃 𠽍 𨖲,ì ô ấ ê ầ ê
翁 布 想 𠎪 打 扲 檑 𠓨 𠎪 𧼌,ô ố ưở ũ đá ầ  à ũ ạ
吏 𠬠 𣋚 茹 固 魯 爫 𬚸 𤞼 𠶆 客 冬 𡗋,ạ ộ ô à ó ỗ à ị ợ ờ á đô ắ
憲 官 袩 体 生,ế   ấ 
𫽄 吱 悲 拱 𫽄 𢫞 易 之,ẳ ê  ũ ẳ  ẻ ì
姅 信 姅 吏 胡,ử  ử ạ ồ
信 𧗱 士 幸 𧗱 焒, ề ẽ ạ ề ử
油 𫽄 瀝 𫽄 𦹳,ù ẳ ạ ẳ ơ
乙 㗂 於 行 粓 㐌 温,ắ ế ở à ơ đã ồ
買 傳 仍 几 下 门,ấ ề ữ ẻ ạ ô
𦋦 外 朱 静 矯 屯 𠰺 庒, à  ĩ ẻ đồ ạ ă
隊 生 生 𨀈 𨖲 𧵆,đò   ướ ê ầ
𨍦 憲 買 噲 𧵆 朱 𫨩, ế ấ ọ ầ  
浪 𤽗 𠳒 寔 沛 排,ằ ươ ờ ự ả ầ
因 牢 麻 敢 典 低 之,â  à á đế đâ ì
払 生 𢬣 歛 𨆝 跪,à   ễ ố ỳ
𩈘 時 𬂙 𠰘 時 𢭮 戈,ặ ì ô ệ ì ử 
莅 仁 平 陸 圭,ị â ì ụ ê
阮 達 碎 阮 生,ễ đạ ô ễ 
㛪 志 立 功 名, í ậ ô 
尋 柴 北 道 移 𠇮 方 南,ì ầ ắ đạ ờ ì ươ 
𢧚 身 𣌋 𢼂 朱 甘,ê â ớ ố  
活 䝉 刻 庒 貪 𠦳 鐄,ạ ô ắ ẳ  ì à
榾 爫 庒 𢧚 棱,ộ à ẳ ê ừ
沛 饒 朱 𢧚 卒 𦳦,ả   ê ố ươ
咹 果 芇 樔 果 意,ă ả à à ả ấ
𠄩 升 拱 𠓨 斗, ư ũ à đấ
係 别 併 𢜝 之 干 縱,ễ ế í ợ  ơ ú
咹 𩛷 𣋚 𩛷 枚,ă ữ ô ữ 
𨇒 用 才 㐌 𠬕 歇 虚,ố  à đã ỏ ế ư
箕 仍 英 𫨩 詩 𫨩 賦,ì ữ   ơ  ú
𫨩 經 義 𫨩 策 文 𡳪,  ĩ  á ă đô
塘 進 化 尋 𦋦 寔 効,đườ ế  ì  ự ệ
箕 仍 几 芇 𢃱 芇 芇 巴,ì ữ ẻ à ũ à à 
芇 烏 𠇍 卒,à ô á ố
梄 覩 拱 在 𨉟,ậ đổ ũ ạ ì
群 責 之 埃 托 𤯩 醝,ò á   á ố 
𦎛 俗 箕 陀 招 押 𫖀,ươ ụ  đà  á ặ
椥 𫅷 𣒣 木 吝 欣 𠓀 群 懞 於 吏, à ă ọ ầ ơ ướ ò  ở ạ
𢣇 尋 方 學 窖,ă ì ươ ọ é
鐘 自 由 㐌 打 𦖻,ô ự  đã đá 
𢪀 朱 賖 事 拱 𢞂 唭,ĩ   ự ũ ồ ườ
固 恪 之 虶 餒 𡥵 蝒,ó á  ò ô  ệ
𨅸 渚 任 飭 𨉓 群 沛,đứ ư ữ ứ ì ò ả
渚 倍 浪 特 𧎝 𥒥 翁 㺔,ớ ộ ằ đượ ấ đá ô 
飭 意 䀡 𫥨 仃 固 強,ứ ấ   đừ ó ượ
包 𣉹 亙 𫨩 猫 𡮈 扒 𤝞 𡥵, ờ ẳ  è ỏ ắ ộ 
𠇍 几 𠮾 唁 渚 凭 錢 寔 𧵑 假,ấ ẻ ọ  ư ữ ề ự ủ ả
事 箕 𪹾 技 麻 差,ự  é ỹ à 
𢀭 爫 狹 爫 单 機 羕 芇,ầ à ẹ à đơ ơ ườ à
料 怛 𢵋 几 沛,ệ đắ đ ẻ ả
日 𩂏 湄 疎 𩂏 風 陳 會 意,ậ  ư ư   ầ ộ ấ
𦋦 𢬣 搓 當 爫,   đá à
渚 如 埃 𧯶 𠰘 徐 呼 固 摡 固 𥉫,ớ ư  á ệ ờ  ó ấ ó ô
固 槞 固 咹 𦋦 飭 𢲲,ó ồ ó ă  ứ 
𪤍 興 旺 庫 之 磋 凭 𡒯,ề ư ượ ó  â ữ ó
推 買 别 𢬣 𫨩 𧆄, ớ ế   ố
学 咹 学 呐 学 学,ọ ă ọ ó ọ ọ
蹎 𣭻 𨀈 𣷭 沉 淪 牢 拱 沕 戈 潙,â  ướ ể ầ â  ũ ẫ  ờ
𧡊 埃 𦓡 𣦍 寔 買 𢧚,ấ  à  ự ớ ê
𠫾 𫥨 𠳨 𫅷 𧗱 茹 𠳨 𪨅,đ  ỏ à ề à ỏ ẻ
𢪀 𨉓 固 幽 迷 之 庒 别,ĩ ì ó  ê  ẳ ế
𠰘 唁 𢖵 𥹰 条 𤴬 𢖵 𠁀,ế  ớ â đề đ ớ đờ
回 天 𧯶 祝 衝 𣦍 䏾 𢪀 朱 溇,ồ ê á ố   ụ ĩ  â
仃 老 如 𥺊 買 粓 𢜝 欺 涅 八,đừ á ư á ấ ơ ợ  á é
𢚸 埃 國 唒 𤾓 𢆥 𥱬 妬 𢬣 扲 朱 凭,ò  ố ẫ ă ă  đó  ầ  ữ
冷 爭 如 荇 空 㙁 渚 咹 埃,  ư à ô ố ư ă 
吀 仃 楊 眜 𥉫 𩜙, đừ ươ ắ ô 
𡗋 空 埃 㨂 厨 風 會 意,ắ ô  đó ù  ộ ấ
渃 𡽫 尼 埃 拱 算 朱 歇 飭,ướ  à  ũ   ế ứ
催 仃 𫅷 𠵘 呐,ô đừ à ồ ó
𨑮 㺔 空 特 鉢 渃 套 志 氣,ườ  ô đượ á ướ á í í
工 朱 質 振 特 如 唎,ô  ắ ắ đượ ư ờ
局 炎 邦 雖 𣷭 𡗋 番,ộ ê   ể ắ 
東 固 𩄲 西 固 扶 持,đô ó â â ó ù ì
﨤 𣅶 𦋦 拱,ặ ú  ũ
鴻 洛 拱 英 㛪 𠬠 户,ồ ạ ũ   ộ ọ
戈 低 袩 体 軒 堂, đâ  ấ ê đườ
英 㛪 仍 約 𢀭 𢀨 如 侯,  ữ ướ à  ư ầ
姑 碎 制 於 園 𨍦,ô ô ơ ở ườ 
𠸍 𠀧 㗂 切 𤴬 𤾓 皮,ỉ  ế ế đ ă ề
𤯩 於 廊 𨖅 於 渃 𠇍 句 哏 咘,ố ở à  ở ướ ấ â ắ ó
埃 從 且 𢪀 𦓡 𥋳,  ả ĩ à 
真 𨅸 吏 碎 𠵌,â đứ ạ ô 
姑 浪 未 神 群 賖,ô ằ ị ầ ò 
量 困 碎 𢪀 庒 𦋦,ượ ố ô ĩ ẳ 
衝 先 决 噲 查 牟,ô ê ế ỏ  ầ
姑 碎 𦝄 𣷭 強 溇,ô ô ă ể à â
𫽄 浪 㗂 㐌 輸 𠀧 𣈜,ẳ ằ ế đã â  à
埃 𧡊 瓊 𠊛 悟, ấ ỳ ườ ộ
拱 固 𢚸 腰 𦓡 撟,ũ ó ò ê à ẹ
𫏾 𨍦 𠳒 实 𤋵 排,ướ  ờ ự ã à
他 朱 時 塊 扒 𣈙 沛 𠳐,  ì ỏ ắ ầ ả â
憲 官 别 䝨 人,ế  ế ề â
𦋦 踈 朗 月 拠 韻 浪, ơ ã ệ ứ ầ ằ
𠰺 𠊛 研 筆 𥙩 朱,ạ ườ ê ú ấ 
生 𡎢 怯 料 𠰷 𠇮, ồ é ệ  ì
吏 隊 噲 玉 清,ạ đò ọ ọ 
𦋦 体 格 袩 情 沛 庒, ể á  ì ả ă
玉 清 諫 踈 浪,ọ   ư ằ
律 㐌 罪 平 吐 山,ó đã ộ ằ ổ ơ
憲 官 皮 噲 皮,ế  ừ ọ ừ
㐌 欺 咶 喯 吏 干 杜 停,đã  é ắ ạ ơ õ à
百 官 品 腹 條 朝 𤤰,á  ẩ ụ đề ầ 
判 拱 官 夢 欣 輸,á ù  ộ â 
𠳒 浪 泣 具 𡗶 生,ờ ằ ắ ụ ờ 
𨍦 庒 恪 事 情 庒 差, ẳ á ự ì ẳ 
别 𫨩 浪 几 英 才,ế  ằ ẻ  à
啂 生 吏 踈 排 袩 朱,ủ  ạ ơ à  
踈 浪,ơ ằ
灰 忽 皮 欺 𤇮 爐, ú ừ  ế ò
𬂙 𦋦 落 体 月 陀,ô  á ấ ệ đà
𤏣 准 宮 𩄲 𫄑 准 𤇦,ỏ ố  â ố ố ù
𤎜 域 隊 泣,á ằ đò ắ
袩 耒 料 𠰷, ồ ệ 
憲 官 浪 特 𡗶 朱 壻 䝨,ế  ằ đượ ờ  ể ề
天 縁 窖 定 姻 縁,ê ê é đị â ê
油 庒 權 暫 權 㐌 餘,ù ă ề ạ ề đã ư
講 朱 生 别 尽 辝,ả   ế ậ ừ
乙 木 推 如 神 位,ắ ộ  ư ầ ì
催 推 庒 爫 之,ô  ẳ à 
係 君 子 詫 之 小 人,ễ â ử á ì ể â
些 袩 𥪝 會 竜 雲,   ộ  â
乙 𤽗 拱 固 分 門 绵,ắ ươ ũ ó ầ  
𢜝 之 𠳒 世 吱,ợ ì ờ ế ê
𢜝 之 𠳒 世 吱,ợ ì ờ ế ê
於 低 些 仕 料 鍊 習 朱,ở đâ  ẽ ệ è ậ 
生 浪 資 質 𢧚, ằ ư ấ ê
𢌌 𠰷 𣷭 愛 德 𠰷 𡽫 鐄,ộ  ể á đứ   à
固 𠬠 翁 秀 𠸜 吉,ó ộ ô ú ê á
𧼋 旦 豹 𦖻 瓊 𦓡 保 浪,ạ đế é  ỳ à ả ằ
騷 𫥨 朱 𠬠 勾 対,   ộ â đố
𢓽 対 特 辰 騷 他,ễ đố đượ ì  
句 対 浪,â đố ằ
𤞼 艮 咹 粓 巽,ợ ấ ă á ố
瓊 対 𣦍 浪,ỳ đố  ằ
㹥 坤 𠤆 哏 乾,ó ô ớ ắ à
翁 秀 吏 𫥨 勾 女 浪,ô ú ạ  â ữ ằ
𡗶 生 翁 秀 吉,ờ  ô ú á
瓊 吏 対 應 口 浪,ỳ ạ đố ứ ẩ ằ
坦 丐 蜅 凶,đấ á ò 
翁 𤏧 灯 衝 保 浪,ô ắ đè  ả ằ
縣 弘 化 省 清 化,ệ ằ á ỉ  á
杜 人 𧗱 𠁀 景 興 茹 後 黎,đậ â ề đờ ả ư à ậ ệ
