nom,vi
夏四月朔陳暠率兵過僊遊桂陽嘉林等縣逼犯菩提津阻河不得渡,ạ ứ ệ ó ầ ả ấ  á ê  ế ươ  â đẳ ệ ứ ạ ồ đề â ở à ấ đắ độ
帝親征御祥壽殿即瓊雲殿也號令諸将東岩伯賴叔懋廣福伯阮克讓明武伯鄭洪等提領官軍渡河奮戰到菩提臨賀等地方,đế â  ự ườ ọ đệ ứ ỳ â đệ ã ệ ệ ư ướ đô  á ạ ú ậ ả ú á ễ ắ ượ  ũ á ị ồ đẳ đề ĩ  â độ à ấ ế đá ồ đề â ạ đẳ đị ươ
帝令𭛁砲三響諸軍進擊大破之,đế ệ á á  ưở ư â ế í đạ á 
槁敗走回于鄂山,ả ạ ẩ ồ  ạ ơ
初三日帝命定郡公馮鎮延興伯鄭孔昭富祿伯鄭萼提領官軍討之戰數不勝,ơ  ậ đế ệ đị ậ ô ù ấ ê ư á ị ổ ê ú ộ á ị ạ đề ĩ  â ả  ế ổ ấ ắ
鎮孔昭皆陷陣而死,ấ ổ ê  ã ậ  ử
鄭萼被執暠欲授以官萼不,ị ạ ị ấ ả ụ ụ ĩ  ạ ấ
屈而死,ấ  ử
帝再命安和侯阮弘裕徃討之,đế á ệ  à ầ ễ ằ ụ ã ả 
弘裕領兵住菩提營,ằ ụ ĩ  ú ồ đề 
鄭惟㦃弑帝于太𭓇門,ị  ả í đế  á ọ ô
先是惟㦃以數諫帝忤旨被杖,ê ị  ả ĩ ổ á đế ỗ ỉ ị ượ
惟㦃乃與黎廣度程志森等同謀廢立整飭船艘噐械在太極津聲言討賊, ả ã ữ ê ả độ ì í â đẳ đồ ư ế ậ ỉ ứ ề ư í ớ ạ á ự â  ô ả ặ
初六日夜二更將金吾護衛三千餘人入北辰門帝聞之疑有賊至乃出幸寶慶門外,ơ ụ ậ ạ ị  ươ  ô ộ ệ  ê ư â ậ ắ ầ ô đế ă   ữ ặ í ã ấ ạ ả á ô ạ
七日昧𡙁有承旨阮瑀從帝間行過太𭓇門至碧溝坊朱雀池帝遇惟㦃問曰賊在何方惟㦃不答顧他大笑,ấ ậ ộ ả ữ ừ ỉ ễ ũ ò đế  à á á ọ ô í í â ườ  ướ ì đế ộ  ả ấ ế ặ ạ à ươ  ả ấ đá ố  đạ ế
帝揮馬而西,đế  ã  â
惟㦃使武士名幸者, ả ử õ ĩ  ạ ả
横矟刺帝墜馬弑之,à á í đế ỵ ã í 
阮瑀亦死之,ễ ũ ệ ử 
將帝屍㱕于北使舘士㝠衣火塟之一云以屍横馬上至南門火於待漏院宰相府䖏,ươ đế    ắ ứ á ĩ   ả á  ấ â ĩ  à ã ượ í  ô ả ư đã ậ ệ ể ướ ủ ứ 
欽德皇后謚󰦛節亦自投于火,â đứ à ậ ỵ đô ế  ệ ự đầ  ả
軍士以两梓宮回塟于御天之陵降封靈隐王今有光孝殿在御天縣美舍社,â ĩ ĩ ưỡ ử  ồ á  ự ê  ă á   ẩ ươ  ữ  ế đệ ạ ự ê ệ ĩ á ã
后姓阮諱璹乃文江鄕管領之女也,ậ í ễ ý đà ã ă  ươ ả ĩ  ữ ã
阮瑀慈廉天姥人由中鄕試肆塲善草書,ễ ũ ừ ê ê ỗ â  ú ươ í ứ ườ ệ ả ư
初從應義師官至兵部左侍郎帝甚寵幸之,ơ ò ứ ĩ ư  í  ộ ả ị  đế ậ ủ ạ 
甲戌科會試,á ấ  ộ í
年五十八文體蹉跌以不入󰱇,ê ũ ậ á ă ể  đệ ĩ ấ ậ ể
帝許再入遂擢第二甲進士出身,đế ứ á ậ ạ ạ đệ ị á ế ĩ ấ â
未幾官至刑部尚書兼保天殿東,ị ơ  í ì ộ ượ ư ê ả ê đệ đô
閣大𭓇士翰林院承旨入侍經筵日夜飲博於内殿為世所輕,á đạ ọ ĩ à â ệ ừ ỉ ậ ị  ê ậ ạ ẩ á ư ộ đệ  ế ở 
至是從帝為其子曰食君之祿當死君之難亦為惟㦃所殺,í ị ò đế ị ì ử ế ự â  ộ đá ử â   ệ   ả ở á
論曰靈隱烝父妾短親䘮假兄名奪人國窮奢極欲煩刑重歛殺盡嗣王干戈四起時稱猪王危亡之徵見矣,ậ ế  ẩ ư ụ ế đả â  ả   đạ â ố ù  ự ụ ề ì ọ ễ á ậ ự ươ   ứ ở ờ ư ư ươ    ư ế ĩ
時惟㦃記殺帝乃與宗室大臣謀欲立穆懿王子光治武佐侯馮邁爭議立錦江王漴長子椅,ờ  ả ý á đế ã ữ ô ấ đạ ầ ư ụ ậ ụ ý ươ ử  ị ũ á ầ ù ạ  ị ậ ẩ  ươ ù ưở ử 
祥郡公馮穎使力士殺邁於禁中議事堂遂立,ườ ậ ô ù ĩ ử ự ĩ á ạ ư ấ  ị ự đườ ạ ậ
光治時年八歳纔三日未及改元鄭惟岱將㱕西都, ị ờ ê á ế à  ậ ị ậ ả ê ị  đạ ươ  â đô
時安和侯阮弘裕屯兵在菩提聞惟㦃弑逆遂𭛁憤󰁮兵渡河燒京城庯舍與其家属子第欲圖報效遂斬武如蘇於京城門外,ờ  à ầ ễ ằ ụ đồ  ạ ồ đề ă  ả í ị ạ á ẫ ử  độ à ê  à ố á ữ ì  ộ ử đệ ụ đồ á ệ ạ ả ũ ư ô ư  à ô ạ
先是如蘇出身匠人以技巧惑帝濫授都督兼工部各所,ê ị ư ô ấ â ượ â ĩ ĩ ả ặ đế ạ ụ đô đố ê ô ộ á ở
時方作大殿百屋未及󰍶公民間切齒,ờ ươ á đạ đệ á ố ị ậ ấ ô â  ế ỉ
及帝遇害如蘇亦棄市臣民皆指笑或唾其屍,ậ đế ộ ạ ư ô ệ í ị ầ â  ỉ ế ặ á ì 
是日鄭惟㦃與黎義昭及勳舊宗室大臣共迎立錦江王長子椅為帝時年十四,ị ậ ị  ả ữ ê ĩ ê ậ â ự ô ấ đạ ầ ộ  ậ ẩ  ươ ưở ử ỷ  đế ờ ê ậ ứ
惟㦃義昭等見弘裕燒, ả ĩ ê đẳ ế ằ ụ ê
毀京城乃使力士覃舉迎帝幸外㱕清華西都城會明興起義師,ỷ  à ã ử ự ĩ đà ử  đế ạ ạ    â đô à ộ  ư ở ĩ ư
獨黎廣度出行于陳暠,độ ê ả độ ấ à  ầ ả
是時城中失守社稷󰲝棄人民入城爭取金銀寶貨白檀麝香紗羅紵絲满於民間圖書胡椒草香等沕委棄衢路髙一二寸不可勝紀,ị ờ à  ấ ủ ã ắ ế í â â ậ à  ủ  â ả á ạ đà ạ ươ   ữ  ã ư â  đồ ư ồ ê ả ươ đẳ ậ ỷ í ù ộ  ấ ị ố ấ ả ắ ỷ
壮勇者爭奪金銀或至三四百两劣者亦二百餘两,á ũ ả  đạ  â ặ í  ứ á ượ ệ ả ệ ị á ư ượ
宮闕府庫爲之一空, ế ủ ố   ấ ô
前歳貢部使兵部右侍郎阮仲逵許三省阮貴雅等還至憑祥州聞陳暠作亂㨿諒原地方道路不通,ề ế ố ộ ứ  ộ ữ ị  ễ ọ ỳ ứ  ỉ ễ ý ã đẳ à í ằ ườ â ă ầ ả á ạ ứ ạ ê đị ươ đạ ộ ấ ô
通事何公勉杜慶餘,ô ự à ô ễ đỗ á ư
謀相官貨㱕于陳暠至光紹六年仲逵等周誅之,ư ươ  á   ầ ả í  ệ ụ ê ọ ỳ đẳ â  
十一日陳暠陷京城僣號天應臨朝稱制用黎廣度李國事,ậ ấ ậ ầ ả ã  à ế ệ ê ứ â ề ư ế ụ ê ả độ í ố ự
時慈廉縣名羅寧社名人都力士鉄山伯陳真等糾出𦾔勇士并子第鄕兵五六千人起兵於廣花市,ờ ừ ê ệ    ã  â đô ự ĩ ế ơ á ầ â đẳ ủ ấ ự ũ ĩ ị ử đệ ươ  ũ ụ ê â ở  ư ả  ị
暠聞之乃分道使潘乙自青威寶陀而進,ả ă  ã â đạ ử  ấ ự   ả đà  ế
真亦由清潭餘裕而來,â ệ   đà ư ụ  
真先以兵逆戰進至射堆與乙力戰噐械俱盡乃以小堝擲之,â ê ĩ  ị ế ế í ạ đô ữ ấ ự ế í ớ ụ ậ ã ĩ ể  ị 
真齒口被跡甚痛以孤軍難久留乃夜回駐營于黄花市,â ỉ ẩ ị í ậ ố ĩ ô â  ử ư ã ạ ồ ú   à  ị
時楊保等亦有扶國討逆暠檄,ờ ươ ả đẳ ệ ữ ù ố ả ị ả ị
十五日,ậ ũ ậ
帝自西都城糾率三府義師,đế ự â đô à ủ ấ  ủ ĩ ư
命鄭惟㦃由天關應天而進阮弘裕由長安莅仁而進正營平富侯阮文慮永興侯鄭綏領水步兵並進直至東京,ệ ị  ả  ê  ứ ê  ế ễ ằ ụ  ườ  í â  ế í  ì ú ầ ễ ă ự ĩ ư ầ ị  ĩ ỷ ộ  ị ế ự í đô 
并移檄郡縣,ị  ị ậ ệ
十九日帝至蕉園,ậ ử ậ đế í ê ê
陳真先士卒挺身詣行在拜謁,ầ â ê ĩ ố đĩ â ệ à ạ á ế
二十三日招安山南營副將安信伯鄭熹提察黎嶘贊理黎翼記録張玄齡等繼進圍大興門外,ị ậ  ậ ê  ơ   ó ướ  í á ị  đề á ê ạ á í ê ự ý ụ ươ ề  đẳ ế ế  đạ ư ô ạ
暠出逆徒上大興門樓麾旗𭛁砲以禦官軍,ả ấ ị đồ ượ đạ ư ô ầ  ì á á ĩ ự  â
少頃見剃髮三叢兵自夢橋進入瑞光宫,ể  ế ế á  ù  ự ộ ề ế ậ ỵ  
鄭熹稍却将退紅梅洞遇,ị  ả ướ ươ á ồ  độ ộ
阮弘裕軍再進入,ễ ằ ụ â á ế ậ
是時惟㦃領水步諸軍並進四靣為城,ị ờ  ả ĩ ỷ ộ ư â ị ế ứ ệ  à
惟㦃擊賊自太極津至東河津, ả í ặ ự á ự â í đô à â
逆徒大敗,ị đồ đạ ạ
鄭熹圍自大興門外,ị   ự đạ ư ô ạ
暠閉城自守,ả ế à ự ủ
惟㦃又圍西北城邉再遇山西逆賊何公真率眾逼城欲誅暠與帝争立, ả ự  â ắ à ê á ộ ơ â ị ặ à ô â ấ ú ứ à ụ  ả ữ đế  ậ
惟㦃力戰公真敗死, ả ự ế ô â ạ ử
時左檢點黎輦戰陷死于驛望社名,ờ ả ể để ê ễ ế ã ử  ị ọ ã 
暠開城走過天德江竄于諒原,ả  à ẩ á ê đứ  á  ạ ê
二十四日帝駐在清潭社名,ị ậ ứ ậ đế ú ạ  đà ã 
二十五日良文侯阮時雍與杜岳等奉迎帝上京,ị ậ ũ ậ ươ ă ầ ễ ì  ữ đỗ ạ đẳ ụ  đế ượ 
二十七日復位大赦以是年為光紹元年,ị ậ ấ ậ ụ ị đạ á ĩ ị ê   ệ ê ê
時光治在西都,ờ  ị ạ â đô
後,ậụ
為文郡公鄭惟岱所弑及其二弟皆遇害,ị ă ậ ô ị  đạ ở í ậ ì ị đệ  ộ ạ
論曰㦃大之惡甚矣,ậ ế ả đạ  á ậ ĩ
他日假手於人而不得其死也宜哉, ậ ả ủ ư â  ấ đắ ì ử ã  
夏六月二十八日太傅䧺國公黎義昭議定捕陳暠父子賞功,ạ ụ ệ ị ậ á ậ á ó ù ố ô ê ĩ ê ị đị ổ ầ ả ụ ử ưở ô
令如捉得暠賞五十人,ệ ư ó đắ ả ưở ũ ậ â
首捕一人許右都督從一品蔭封三代不願官者賜金三百两級田二千畝次捕一人許都指揮使正三品蔭封三代又次捕一人許都指揮使同知從五品從捕十人許指揮僉事正四品又從捕十,ủ ổ ấ â ứ ữ đô đố ò ấ ẩ ấ   đạ ấ ệ  ả ứ   á ượ ấ đề ị ê ẫ ứ ổ ấ â ứ đô ỉ  ứ á  ẩ ấ   đạ ự ứ ổ ấ â ứ đô ỉ  ứ đồ  ò ũ ẩ ò ổ ậ â ứ ỉ  ê ự á ứ ẩ ự ò ổ ậ
三人許指揮同知, â ứ ỉ  đồ 
如補得逆暠子賞二十人首捕一人許都督同知,ư ổ đắ ị ả ử ưở ị ậ â ủ ổ ấ â ứ đô đố đồ 
秋八月獲陳暠黨潘乙於東潮縣檻送京師斬於東河坊, á ệ ạ ầ ả đả  ấ ư đô ề ệ ạ ố  ư ả ư đô à ườ
命鄭惟産節制水步諸營以御史台僉都御史范謙柄賛理軍務畧定海陽永興侯鄭綏安美侯賴叔懋并覃󰁮桂陽覧山東人調步兵畧定京北由禮伯阮伯俊歸安集慈山府名諸縣,ệ ị  ả ế ế ỷ ộ ư  ĩ ự ử đà ê đô ự ử ạ ê í á í â ụ ượ đị ả ươ ĩ ư ầ ị   ĩ ầ ạ ú ậ ị đà ử ế ươ ã ơ đô â đề ộ  ượ đị  ắ  ễ á ễ á ấ   ậ ừ ơ ủ  ư ệ
伯俊㱕至桂陽為鄕人所殺,á ấ  í ế ươ ị ươ â ở á
綏等進至武寧市橋駐營, đẳ ế í ũ  ị ầ ú 
九月十三日黎義昭再議定捕得僞,ử ệ ậ  ậ ê ĩ ê á ị đị ổ đắ ỵ
将賞功令一捕得僞大将難賞十人易賞五人首捕一人難許都指揮使從三品易許都指揮僉事正四品,ướ ưở ô ệ ấ ổ đắ ỵ đạ ướ  ưở ậ â ị ưở ũ â ủ ổ ấ â  ứ đô ỉ  ứ ò  ẩ ị ứ đô ỉ  ê ự á ứ ẩ
一捕得僞副将難賞八人易賞四人,ấ ổ đắ ỵ ó ướ  ưở á â ị ưở ứ â
再定功臣捕得逆暠及僞職,á đị ô ầ ổ đắ ị ả ậ ỵ ứ
賞功令并定力勇武士及俊士功臣子孫捕得僞将賞公令,ưở ô ệ í đị ự ũ õ ĩ ậ ấ ĩ ô ầ ử ô ổ đắ ỵ ướ ưở ô ệ
冬十一月再命鄭惟㦃阮弘裕與明武侯鄭拱廣福伯阮克讓提領官軍徃討陳暠於至靈鄒山崇嚴寺山麓,đô ậ ấ ệ á ệ ị  ả ễ ằ ụ ữ  ũ ầ ị ủ ả ú á ễ ắ ượ đề ĩ  â ã ả ầ ả ư í  â ơ ù ê ự ơ ộ
時惟㦃以軍士久勞逆暠未滅乃作文以慰勞将士,ờ  ả ĩ â ĩ ử  ị ả ị ệ ã á ă ĩ ý ạ ướ ĩ
又使裨將鉄山伯陳真回,ự ử ì ướ ế ơ á ầ â ồ
京討多士, ả đ ĩ
先是多士恃有功勞衡衡國中脅奸豦女逼滛人妻故惟㦃使真討之,ê ị đ ĩ ị ữ ô  à à ố  ế  ự ữ ứ â â ê ố  ả ử â ả 
時有星隕於營中,ờ ữ  ẫ ư  
惟㦃軍進至至靈縣名與暠夾戦於南澗, ả â ế í í  ệ  ữ ả á ế ư  ả
裨将名幸死於陣,ì ướ  ạ ử ư ậ
惟㦃見賊挑戦欲擊之諸將諫不聽, ả ế ặ ê ế ụ í  ư ướ á ấ í
賊又挑戦惟㦃忿怒分道進戦身先士卒,ặ ự ê ế  ả ẫ ộ â đạ ế ế â ê ĩ ố
惟㦃及阮尚皆為陣暠所獲至萬劫行舘殺支, ả ậ ễ ượ  ị ầ ả ở ạ í ạ ế à á á 
暠直到菩提,ả ự đá ồ đề
帝命鉄山伯陳真進討大破之刺殺甚多,đế ệ ế ơ á ầ â ế ả đạ á  í á ậ đ
暠遂竄于諒原不敢復出以月江為界,ả ạ á  ạ ê ấ ả ụ ấ ĩ ệ   ớ
真與暠軍相持,â ữ ả â ươ ì
暠傳其子昇僣號宣和,ả ề ì ử ă ế ệ ê à
後暠削,ậ ả ướ
髮為僧逃匿得免,á  ă đà ặ đắ ễ
今保祿安樂周原等村猶有祠在意暠死於此焉, ả ộ  ạ  ê đẳ ô  ữ ừ ạ ý ả ử ư ử ê
昭宗神皇帝諱椅又諱漳聖宗之曾孫建王鑌之嫡孫錦江王漴之長子也在位七年為莫登庸所弑壽二十六塟永興陵,ê ô ầ à đế ý  ự ý ệ á ô  ằ ô ế ươ â  đí ô ẩ  ươ ù  ưở ử ã ạ ị ấ ê ị ạ đă  ở í ọ ị ậ ụ á ĩ ư ă
時既板蕩政非已出内聽奸䛕外荒禽獸昏暗不明剛愎自用其亡也宜哉,ờ ý ả đã í  ĩ ấ ộ í   ạ  ầ ú ô á ấ  ươ ứ ự ụ ì  ã   
其母皇后鄭氏鸞乃清漳丕暴人也,ì ẫ à ậ ị ị  ã  ươ  ạ â ã
以端慶二年十月初四日生,ĩ đ á ị ê ậ ệ ơ ứ ậ 
洪順八年㐮翼帝遇害無嗣大臣黎義昭鄭惟㦃等迎而立之,ồ ậ á ê ươ ự đế ộ ạ ô ự đạ ầ ê ĩ ê ị  ả đẳ   ậ 
後㱕西都紏率義師直進至京逐陳暠遂即位改元光,ậ  â đô ủ ấ ĩ ư ự ế í  ụ ầ ả ạ ứ ị ả ê 
紹以誕日為儀天聖節,ệ ĩ đả ậ   ê á ế
七年而幸外莫登庸立弟椿即位降帝為陀陽王,ấ ê  ạ ạ ạ đă  ậ đệ â ứ ị á đế  đà ươ ươ
統阮五年為登庸所殺,ố ễ ũ ê ị đă  ở á
後追上尊謚為神皇帝廟號昭宗,ậ  ượ ô ỵ  ầ à đế ế ệ ê ô
丁丑光紹二年明正德十二年,đ ử  ệ ị ê  í đứ ậ ị ê
春追尊皇祖建王為德宗建皇帝皇父荘定大王為明宗哲皇帝仍勑禮部尚書譚慎徽號定廟諱御名廟諱二十椅譓二字,â  ô à ổ ế ươ  đứ ô ế à đế à ụ  đị đạ ươ   ô ế à đế ư ắ ễ ộ ượ ư đà ậ  ệ đị ế ý ự  ế ý ị ậ  ệ ị ự 
字御凡臨文寫用刊書籍皆不之禁聲讀皆應回避連字如徵在之類不得寫用,ự ự à â ă ả ụ  ư ị  ấ  ấ  độ  ứ ồ ị ê ự ư ư ạ  ạ ấ đắ ả ụ
命平郡公阮文慮為都将,ệ ì ậ ô ễ ă ự  đô ướ
夏四月杖殺假天武𬯵克昌,ạ ứ ệ ượ á ả ê ũ ồ ắ ươ
克昌天施縣仁武鄕効力前衛軍人於洪順六年稱曰駙馬降身未幾又稱天武,ắ ươ ê  ệ â ũ ươ ệ ự ề ệ â â ư ồ ậ ụ ê ư ế ò ã á â ị ơ ự ư ê ũ
至是年正月出居本社寺號曰浮涇乞飯九包食盡取包葉燒化为藥助良民無子息者需索鷄酒,í ị ê í ệ ấ ư ả ã ự ệ ế ù  ấ ạ ử  ự ậ ủ  ệ ê á  ượ ợ ươ â ô ử ứ ả  á ê ử
救助即効,ứ ợ ứ ệ
事聞于朝差人捉送赴京杖殺之為其恠誕惑民故誅之,ự ă  ề  â ó ố ó  ượ á  ị ì á đả ặ â ố  
命太保瑞郡公吳柄為都将,ệ á ả ỵ ậ ô ô í  đô ướ
以阮文運為京北賛治承政司承政使,ĩ ễ ă ậ   ắ á ị ừ í  ừ í ứ
五月二十八日追尊靈隱正為襄翼帝,ũ ệ ị ậ á ậ  ô  ẩ í  ươ ự đế
秋七月朔安和侯阮弘裕與永興伯鄭綏有隙屯兵相拒, ấ ệ ó  à ầ ễ ằ ụ ữ ĩ ư á ị  ữ í đồ  ươ ự
先是阮弘裕鄭綏俱徃討賊回于京師聽子弟反間遂成嫌隙,ê ị ễ ằ ụ ị  ụ ã ả ặ ồ   ư í ử đệ ả á ạ à ề í
弘裕屯于東河坊綏屯于大羅城外相守,ằ ụ đồ  đô à ườ  đồ  đạ  à ạ ươ ủ
弘裕稱病不朝,ằ ụ ư ệ ấ ề
科官阮貫之奏言,  ễ á  ấ ô
上以廉蘭賈㓂之事諭之不解,ượ ĩ ê  ả ấ  ự ụ  ấ ả
至是阮文慮鄭維岱俱入御前奏請講和二人,í ị ễ ă ự ị  đạ ụ ậ ự ề ấ ỉ ả à ị â
文慮以密詔出於袖中奏言鄭綏維岱以阮湞子阮淞立為僞主作大逆,ă ự ĩ ậ ế ấ ư ụ  ấ ô ị   đạ ĩ ễ  ử ễ ù ậ  ỵ ú á đạ ị
於是捕維岱及右都督黎益旧旧音皆斬之,ư ị ổ  đạ ậ ữ đô đố ê í ự ự â  ả 
鄭伯适絞死,ị á á ả ử
以維岱首梟於鐵山,ĩ  đạ ủ ê ư ế ơ
伯陳真營外,á ầ â  ạ
是日阮弘裕󰁮兵擊綏於京城永昌曲浦復古等坊三戰不克,ị ậ ễ ằ ụ ử  í  ư  à ĩ ươ ú ố ụ ổ đẳ ườ  ế ấ ắ
鄭綏裨将阮世副中矢而却,ị  ì ướ ễ ế ó ú ỉ  ướ
綏乃走入清華, ã ẩ ậ  
陳真以弘裕逐鄭綏乃舉兵攻弘裕先是惟産𭁈鄭綏同族惟㦃養陳真為義子密劄山西各營子弟擊之,ầ â ĩ ằ ụ ụ ị  ã ử  ô ằ ụ ê ị  ả ữ ị  đồ ộ  ả ưỡ ầ â  ĩ ử  ậ á ơ â á  ử đệ í 
是日弘裕入見帝出自大興門意有陳真乃出東華門,ị ậ ằ ụ ậ ế đế ấ ự đạ ư ô ý ữ ầ â ã ấ đô  ô
頃之下船避回清華,  ạ ề ị ồ  
時莫登庸鎮守山南陳真有書勸截之登庸不忍弘裕得免,ờ ạ đă  ấ ủ ơ  ầ â ữ ư ế ệ  đă  ấ ậ ằ ụ đắ ễ
初弘裕與陳真戰時日向暮有五色雲片出東方而黄雲飄楊滿天,ơ ằ ụ ữ ầ â ế ờ ậ ướ ộ ữ ũ ắ â ế ấ đô ươ  à â ê ươ ã ê
識者恠之,ứ ả á 
諭曰黎朝當光紹時外㓂未平權臣相攻交兵闕下蹀血京師,ụ ế ê ề đươ  ệ ờ ạ ấ ị ì ề ầ ươ ô   ế ạ đệ ế  ư
曰色黄昏天雲散落國祚日衰兆於此矣,ế ắ à ô ê â á ạ ố ộ ậ  ệ ư ử ĩ
詔追尊愍厲公為威穆帝,ế  ô ẫ ệ ô   ụ đế
二十八日殺假天蓬陳公務公務嘉福縣范松社軍人,ị ậ á ậ á ả ê ồ ầ ô ụ ô ụ  ú ệ ạ ù ã â â
先是副将左都督武川伯莫登庸奏言公務妄行妖恠誑惑愚民並劾丞憲官黎瓚杜韜等信惑邪説其畧云窃惟仁義中正聖人之所當行恠力亂神聖人之所不語,ê ị ó ướ ả đô đố ũ ê á ạ đă  ấ ô ô ụ ọ à ê á ồ ặ  â ị ặ ừ ế  ê ả đỗ  đẳ í ặ à ế ì ượ â ế  â ĩ  í á â  ở đươ à á ự ạ ầ á â  ở ấ ữ
稽諸往古厥有明徵,ê ư ã ổ ế ữ  ư
皇帝府時必謹幽明之,à đế ủ ờ ấ ẩ   
分髙陽立極必絶地天之通,â  ươ ậ ự ấ ệ đị ê  ô
是皆揭標的於當時所以垂黾鑑於後代,ị  ế ê đí ư đươ ờ ở ĩ ỳ ã á ư ậ đạ
於皇上聖光啓中興作之君作之師誕任寵綏之責化以道化以德期臻沕穆之休,ư à ượ á  ả  ư á  â á  ư đả ệ ủ   á á ĩ đạ á ĩ đứ ì ă ậ ụ  ư
凣在際蟠󰁮皆食息,à ạ ế à ử  ự ứ
今天施仁武軍人瞿克昌嘉福范松軍人陳公務類由賤隷本作齊民謂宜遵王道王路之㱕率循嘉訓却乃假天武天蓬之號誑誘愚民, ê  â ũ â â ù ắ ươ  ú ạ ù â â ầ ô ụ ạ  ệ ệ ả á ề â ị  â ươ đạ ươ ộ   ấ ầ  ấ ướ ã ả ê ũ ê ồ  ệ ố ụ  â
以浮經𫢋寺為賣詐之塲以布𢪒神祠爲藏奸之窟,ĩ ù  ậ ự  ạ á  ườ ĩ ố á ầ ừ  à   ậ
撒灰作薬術行而老少奔波咒水飛符計售而閭閻倒影,ả ô á ượ ậ à  ã ế ô  ú ỷ  ù ế ụ  ư ê đả ả
顧妖恠所為若是宜士夫出力排之,ố ê á ở  ượ ị  ĩ  ấ ự à 
而承憲关等曾讀聖賢之書均任師帥之責當如仁傑毀河南滛祠以袪他惑胡頴杖廣東僧人以斥異端, ừ ế  đẳ ằ độ á ề  ư â ệ ư á  á đươ ư â ệ ỷ à  â ừ ĩ ư  ặ ồ ĩ ượ ả đô ă â ĩ í ị đ
胡彼凣流不明常理黎瓚文運則迷而不悟妄狀而信惑其非子驥杜韜則昏而無知妄本而附會其説,ồ ỉ à ư ấ  ườ í ê ả ă ậ ắ ê  ấ ộ ọ ạ  í ặ ì  ử í đỗ  ắ ô  ô  ọ ả  ụ ộ ì ế
一一同㱕於左道駸駸幾惑於巫風,ấ ấ đồ  ư ả đạ â â ơ ặ ư  
将惑以恠相惧以神既作譸張之態何儆非刑何度非法盍嚴懲戒之條,ươ ặ ĩ á ươ ụ ĩ ầ ý á ù ươ  á à ả  ì à độ  á ạ ê ừ ớ  đề
帝從之,đế ò 
以阮預為御史󰱑副都御史,ĩ ễ ự  ự ử đà ó đô ự ử
冬十一月二十日以杜岳為吏部尚書兼東閣大𭓇士入侍經筵,đô ậ ấ ệ ị ậ ậ ĩ đỗ ạ  ạ ộ ượ ư ê đô á đạ ọ ĩ ậ ị  ê
閏十二月誅賊臣黎廣度,ậ ậ ị ệ  ặ ầ ê ả độ
先是廣度降于陳暠,ê ị ả độ à  ầ ả
至是鎮将何𢒎鶽音準阮魯等捉得解送京師,í ị ấ ướ à  ẩ â ẩ ễ ỗ đẳ ó đắ ả ố  ư
莫登庸上奏請誅之其畧曰三綱五常扶植天地之棟幹奠安生民之柱石,ạ đă  ượ ấ ỉ   ì ượ ế  ươ ũ ườ ù ự ê đị  đố á đệ   â  ụ ạ
國而無此則中夏而夷狄人而無此則衣裳而禽犢,ố  ô ử ắ  ạ   đị â  ô ử ắ  ườ  ầ độ
自古及今未有舍此而䏻立於覆載之間也,ự ổ ậ  ị ữ á ử  ă ậ ư ú ả   ã
今黎廣度帝祖父之餘蔭蒙朝廷之厚恩践歷四朝列位台鼎因循一節殆甚窺窬, ê ả độ đế ổ ụ  ư ấ ô ề đì  ậ â ễ ị ứ ề ệ ị đà đỉ â ầ ấ ế đã ậ  
要君則,ế â ắ
百計逢迎專政則多方賣弄釀成端慶洪順之禍𡸈一朝一夕之故哉,á ế ù  ê í ắ đ ươ ạ ộ ưỡ à đ á ồ ậ  ạ ở ấ ê ấ ị  ố 
比年逆暠稱兵僣干位號彼乃貪生畏死忍耻事讐假名爵而為逆暠誑誘愚民假頭目而為逆暠求封外國,ỉ ê ị ả ư  ế  ị ệ ỉ ã   ý ử ẫ ỉ ự ù ả  ướ   ị ả ố ụ  â ả đầ ụ   ị ả ầ  ạ ố
狗彘其行梟獍其心梟惡鳥名獍音更惡獸名梟食父獍食母,ẩ ệ ì à ê í ì â ê á để  í â á á ú  ê ự ụ í ự ẫ
人皆唾罵而彼則冥頑自如曾不顧君父之厚恩綱常之大義,â  á ạ  ỉ ắ   ự ư ằ ấ ố â ụ  ậ â ươ ườ  đạ ĩ
其得罪於天地得罪於祖宗得罪於天下在所不赦,ì đắ ộ ư ê đị đắ ộ ư ổ ô đắ ộ ư ê ạ ạ ở ấ á
今将臣何飛鶽阮魯等已捉得正身欽奉勑㫖力士拿誅之, ướ ầ à  ẩ ễ ỗ đẳ ĩ ó đắ í â â ụ ắ ỉ ự ĩ ã  
初六科十三道上奏為大,ơ ụ  ậ  đạ ượ ấ  đạ
臣臨事变亂䏻死節義事逆賊,ầ â ự ế ạ ă ử ế ĩ ự ị ặ
事臣等檢得前太師紹國公黎廣度居相職不䏻盡忠臨事變不䏻死節臣事逆暠抗拒朝廷至鎮守營将何飛鶽阮魯等捉得觧送果是逆賊之臣至是罪犯,ự ầ đẳ ể đắ ề á ư ệ ố ô ê ả độ ư ươ ứ ấ ă ậ  â ự ế ấ ă ử ế ầ ự ị ả á ự ề đì í ấ ủ  ướ à  ẩ ễ ỗ đẳ ó đắ ả ố ả ị ị ặ  ầ í ị ộ ạ
臣等竊惟天地常經實在君臣之道春秋大義尤嚴亂賊之誅,ầ đẳ ế  ê đị ườ  ự ạ â ầ  đạ â  đạ ĩ ư ê ạ ặ  
